mcl1	mcl3	mcl5	ortho_group	species	gene_id	desc	symbol	Transcription Factor Family	Gene Symbol	Gene Name	Also Known As	Source Material for Membership
1	18	60	OG0000528	fly	FBgn0004841	Tachykinin-like receptor at 86C	TkR86C					
1	18	60	OG0000528	fly	FBgn0004842	RYamide receptor	RYa-R					
1	18	60	OG0001859	fly	FBgn0035610	Leucokinin receptor	Lkr					
1	18	60	OG0027758	fly	FBgn0085410	Trissin receptor	TrissinR					
1	18	62	OG0001859	fly	FBgn0036934	short neuropeptide F receptor	sNPF-R					
1	18	64	OG0001394	fly	FBgn0030954	Cholecystokinin-like receptor at 17D3	CCKLR-17D3					
1	18	64	OG0001394	fly	FBgn0259231	Cholecystokinin-like receptor at 17D1	CCKLR-17D1					
1	20	69	OG0001867	fly	FBgn0025595	Adipokinetic hormone receptor	AkhR					
1	20	69	OG0009672	fly	FBgn0039396	Crustacean cardioactive peptide receptor	CCAP-R					
1	20	69	OG0027881	fly	FBgn0031770		CG13995					
1	20	69	OG0027925	fly	FBgn0036278	Corazonin receptor	CrzR					
1	23	77	OG0002912	fly	FBgn0037408	Neuropeptide F receptor	NPFR					
1	23	77	OG0028080	fly	FBgn0052547		CG32547					
1	27	84	OG0026671	fly	FBgn0050340		CG30340					
1	28	88	OG0005982	fly	FBgn0025631	moody	moody					
1	28	88	OG0005982	fly	FBgn0025632		CG4313					
1	28	88	OG0005982	fly	FBgn0046687	Trapped in endoderm 1	Tre1					
1	30	94	OG0000347	fly	FBgn0036742		CG7497					
1	35	102	OG0027114	fly	FBgn0053696	CNMamide Receptor	CNMaR					
1	35	102	OG0027653	fly	FBgn0029723	Proctolin receptor	Proc-R					
1	37	104	OG0001533	fly	FBgn0038201	Pyrokinin 1 receptor	PK1-R					
1	51	123	OG0008342	fly	FBgn0035385	FMRFamide Receptor	FMRFaR					
1	76	152	OG0014734	fly	FBgn0053639		CG33639					
1	76	152	OG0025591	fly	FBgn0034168		CG15614					
2	88	164	OG0000014	fly	FBgn0000061	aristaless	al	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	al	aristaless	L13-4	(Bürglin and Affolter, 2016, Popovici et al., 2001, Galliot et al., 1999)
2	88	164	OG0000014	fly	FBgn0000625	eyegone	eyg	PAIRED HOMEOBOX TRANSCRIPTION FACTORS	eyg	eyegone	lune, Eygone, BK27, lun	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
2	88	164	OG0000014	fly	FBgn0004102	ocelliless	oc	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	oc	ocelliless	otd, orthodenticle, Otx, ort, orthodentical	(Bürglin and Affolter, 2016, Popovici et al., 2001)
2	88	164	OG0000014	fly	FBgn0005558	eyeless	ey	PAIRED HOMEOBOX TRANSCRIPTION FACTORS	ey	eyeless	Pax6, l(4)33, Pax-6, OK107, eye	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
2	88	164	OG0000014	fly	FBgn0008636	homeobrain	hbn	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	hbn	homeobrain		(Bürglin and Affolter, 2016, Popovici et al., 2001, Galliot et al., 1999)
2	88	164	OG0000014	fly	FBgn0010323	Goosecoid	Gsc	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Gsc	Goosecoid	D-gsc, Muenster 72, 60Mun2, l(2)05341	(Bürglin and Affolter, 2016, Popovici et al., 2001)
2	88	164	OG0000014	fly	FBgn0011701	reversed polarity	repo	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	repo	reversed polarity	RK2, reverse polarity	(Bürglin and Affolter, 2016, Galliot et al., 1999)
2	88	164	OG0000014	fly	FBgn0020617	Retinal Homeobox	Rx	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Rx	Retinal Homeobox	DRx, E97, PPH17, bk50	(Bürglin and Affolter, 2016, Galliot et al., 1999)
2	88	164	OG0000014	fly	FBgn0023489	PvuII-PstI homology 13	Pph13	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Pph13	PvuII-PstI homology 13	Munster, hazy, Mu	(Bürglin and Affolter, 2016, Popovici et al., 2001, Galliot et al., 1999)
2	88	164	OG0000014	fly	FBgn0025334	Putative homeodomain protein	PHDP	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	PHDP	Putative homeodomain protein		(Bürglin and Affolter, 2016, Popovici et al., 2001, Galliot et al., 1999)
2	88	164	OG0000014	fly	FBgn0030058		CG11294	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG11294			(Bürglin and Affolter, 2016, Galliot et al., 1999)
2	88	164	OG0000014	fly	FBgn0034821		CG9876	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG9876			(Bürglin and Affolter, 2016, Popovici et al., 2001)
2	88	164	OG0000014	fly	FBgn0036285	twin of eyg	toe	PAIRED HOMEOBOX TRANSCRIPTION FACTORS	toe	twin of eyg	twin of eyegone	(Bürglin and Affolter, 2016)
2	88	164	OG0000014	fly	FBgn0052532		CG32532	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG32532			(Bürglin and Affolter, 2016, Galliot et al., 1999)
2	88	164	OG0000014	fly	FBgn0085369	Dorsal root ganglia homeobox	Drgx	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Drgx	Dorsal root ganglia homeobox		(Bürglin and Affolter, 2016, Galliot et al., 1999)
2	88	164	OG0000014	fly	FBgn0085396		CG34367	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG34367			(Bürglin and Affolter, 2016)
2	88	164	OG0001836	fly	FBgn0001147	gooseberry-neuro	gsb-n	PAIRED HOMEOBOX TRANSCRIPTION FACTORS	gsb-n	gooseberry-neuro	gsb-p, gsb, gsbn, BSH4, gsb-neuro	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
2	88	164	OG0001836	fly	FBgn0001148	gooseberry	gsb	PAIRED HOMEOBOX TRANSCRIPTION FACTORS	gsb	gooseberry	gsb-d, BSH9, l(2)01155	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
2	88	164	OG0001836	fly	FBgn0003145	paired	prd	PAIRED HOMEOBOX TRANSCRIPTION FACTORS	prd	paired		(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
2	88	164	OG0004541	fly	FBgn0026058	Ods-site homeobox	OdsH	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	OdsH	Ods-site homeobox		(Bürglin and Affolter, 2016, Galliot et al., 1999)
2	88	164	OG0005264	fly	FBgn0019650	twin of eyeless	toy	PAIRED HOMEOBOX TRANSCRIPTION FACTORS	toy	twin of eyeless	l(4)8, l(4)102CDg	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
2	88	164	OG0007258	fly	FBgn0015524	orthopedia	otp	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	otp	orthopedia	W26, bk24	(Bürglin and Affolter, 2016)
2	88	165	OG0004541	fly	FBgn0024184	unc-4	unc-4	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	unc-4	unc-4	Dunc-4	(Bürglin and Affolter, 2016)
2	88	166	OG0000014	fly	FBgn0263511	Visual system homeobox 1	Vsx1	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Vsx1	Visual system homeobox 1	dChx1, Chx1, dVsx1, lincRNA.S8688	(Bürglin and Affolter, 2016, Popovici et al., 2001)
2	88	166	OG0002508	fly	FBgn0263512	Visual system homeobox 2	Vsx2	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Vsx2	Visual system homeobox 2	Chx2, dVsx2	(Bürglin and Affolter, 2016, Popovici et al., 2001, Galliot et al., 1999)
2	89	180	OG0000001	fly	FBgn0001077	fushi tarazu	ftz	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	ftz	fushi tarazu	Dm-Ftz	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	180	OG0000001	fly	FBgn0003267	rough	ro	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	ro	rough		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	180	OG0000001	fly	FBgn0004053	zerknullt	zen	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	zen	zerknullt	z1, zerknult	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	180	OG0000001	fly	FBgn0004054	zerknullt-related	zen2	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	zen2	zerknullt-related	z2	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	180	OG0000001	fly	FBgn0041156	extra-extra	exex	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	exex	extra-extra	Hb9, dHb9	(Bürglin and Affolter, 2016, Popovici et al., 2001)
2	89	180	OG0001184	fly	FBgn0002522	labial	lab	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	lab	labial	F90-2, F24	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	180	OG0002857	fly	FBgn0025776	intermediate neuroblasts defective	ind	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	ind	intermediate neuroblasts defective		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	180	OG0002942	fly	FBgn0000166	bicoid	bcd	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	bcd	bicoid		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	180	OG0003037	fly	FBgn0051481	proboscipedia	pb	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	pb	proboscipedia	l(3)04498, proposcipedia	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	180	OG0005911	fly	FBgn0014949	buttonless	btn	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	btn	buttonless		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	181	OG0000001	fly	FBgn0000014	abdominal A	abd-A	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	abd-A	abdominal A	abdA, iab-2, iab-4, iab-3, iab4	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	181	OG0000001	fly	FBgn0000251	caudal	cad	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	cad	caudal	38E.19, cd	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	181	OG0000001	fly	FBgn0003944	Ultrabithorax	Ubx	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Ubx	Ultrabithorax	bx, pbx, Cbx, bxd, bithorax	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	181	OG0000001	fly	FBgn0260642	Antennapedia	Antp	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Antp	Antennapedia	ANT-C, Hu, Scx, DmAntp, l(3)84Ba	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	182	OG0000001	fly	FBgn0000439	Deformed	Dfd	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Dfd	Deformed	DmDfd	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	89	182	OG0000001	fly	FBgn0003339	Sex combs reduced	Scr	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Scr	Sex combs reduced	Msc, Multiple sex comb	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	90	194	OG0000480	fly	FBgn0261930	ventral nervous system defective	vnd	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	vnd	ventral nervous system defective	NK-2, vnd/NK-2, NK2, EC6, EG:118B3.1	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001, Kim and Nirenberg, 1989)
2	90	194	OG0000702	fly	FBgn0287186	scarecrow	scro	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	scro	scarecrow	l7, l(3)Lh7	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	90	194	OG0001357	fly	FBgn0004110	tinman	tin	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	tin	tinman	NK-4, msh-2, NK4/msh-2, NK4, msh2	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001, Kim and Nirenberg, 1989)
2	90	194	OG0003084	fly	FBgn0004862	bagpipe	bap	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	bap	bagpipe	NK3, NK-3, bgp	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001, Kim and Nirenberg, 1989)
2	91	202	OG0000001	fly	FBgn0002941	slouch	slou	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	slou	slouch	S59, NK-1, Nk1, S59/NK-1	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001, Kim and Nirenberg, 1989)
2	91	202	OG0000001	fly	FBgn0030408		CG11085	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG11085			(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	91	202	OG0000001	fly	FBgn0054031		CG34031	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG34031		BP1068	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	91	202	OG0001120	fly	FBgn0004854	BarH2	B-H2	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	B-H2	BarH2	Bar	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	91	202	OG0001120	fly	FBgn0011758	BarH1	B-H1	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	B-H1	BarH1	Bar	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	91	202	OG0005447	fly	FBgn0000529	brain-specific homeobox	bsh	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	bsh	brain-specific homeobox	E86	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	91	207	OG0000001	fly	FBgn0034520	lateral muscles scarcer	lms	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	lms	lateral muscles scarcer		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	91	207	OG0000480	fly	FBgn0024321	NK7.1	NK7.1	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	NK7.1	NK7.1		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	92	211	OG0001222	fly	FBgn0004863	C15	C15	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	C15	C15	clawless, cll	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	92	211	OG0006134	fly	FBgn0038852	Hematopoietically expressed homeobox	HHEX	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	HHEX	Hematopoietically expressed homeobox		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	92	212	OG0000480	fly	FBgn0264005	H6-like-homeobox	Hmx	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Hmx	H6-like-homeobox		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	93	216	OG0000001	fly	FBgn0000015	Abdominal B	Abd-B	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Abd-B	Abdominal B	AbdB, iab-7, Mcp, Fab-7, iab-6	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	94	219	OG0002042	fly	FBgn0003129	Pox meso	Poxm	PAIRED DOMAIN TRANSCRIPTION FACTORS	Poxm	Pox meso	Pox-m	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
2	94	219	OG0009885	fly	FBgn0003130	Pox neuro	Poxn	PAIRED DOMAIN TRANSCRIPTION FACTORS	Poxn	Pox neuro	Pox-n	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
2	94	219	OG0025493	fly	FBgn0005561	shaven	sv	PAIRED DOMAIN TRANSCRIPTION FACTORS	sv	shaven	D-Pax2, spa, sparkling, Pax2, dPax2	(Bürglin and Affolter, 2016, Breitling and Gerber, 2000)
2	95	220	OG0001088	fly	FBgn0000157	Distal-less	Dll	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Dll	Distal-less	Ba, l(2)01092, Brista, Distall-less	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	97	224	OG0000001	fly	FBgn0038592		CG18599	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG18599			(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	97	224	OG0000942	fly	FBgn0000576	empty spiracles	ems	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	ems	empty spiracles		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	97	224	OG0000942	fly	FBgn0008646	E5	E5	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	E5	E5		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	99	227	OG0001199	fly	FBgn0000492	Drop	Dr	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Dr	Drop	msh, muscle segment homeobox, muscle specific homeobox, msh1, msh-1	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	99	227	OG0026875	fly	FBgn0038833		CG15696	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG15696			(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	100	228	OG0001396	fly	FBgn0040318	HGTX	HGTX	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	HGTX	HGTX	Nkx6, Nk6	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	101	229	OG0001188	fly	FBgn0020912	Ptx1	Ptx1	PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Ptx1	Ptx1	D-Ptx1	(Bürglin and Affolter, 2016, Popovici et al., 2001)
2	104	232	OG0000001	fly	FBgn0001269	invected	inv	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	inv	invected	in, engrailed-related	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	104	232	OG0001357	fly	FBgn0000577	engrailed	en	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	en	engrailed	Eng, spt, en1, spermatheca	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	105	233	OG0002103	fly	FBgn0000606	even skipped	eve	HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	eve	even skipped	E(eve), Complementation group F, l(2)46Ce	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	107	236	OG0002898	fly	FBgn0015561	unplugged	unpg	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	unpg	unplugged	unp, upg	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	108	237	OG0002889	fly	FBgn0008651	ladybird late	lbl	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	lbl	ladybird late	ladybird, lb	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	108	237	OG0002889	fly	FBgn0011278	ladybird early	lbe	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	lbe	ladybird early	ladybird, lb	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
2	110	240	OG0005449	fly	FBgn0261723	Dbx	Dbx	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Dbx	Dbx		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
2	110	240	OG0007881	fly	FBgn0001170	Homeodomain protein 2.0	H2.0	NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	H2.0	Homeodomain protein 2.0		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
3	134	267	OG0000268	fly	FBgn0011305	Repressor splicing factor 1	Rsf1					
3	134	267	OG0000444	fly	FBgn0035016		CG4612					
3	134	267	OG0000444	fly	FBgn0265297	poly(A) binding protein	pAbp					
3	134	267	OG0000556	fly	FBgn0010263	RNA-binding protein 9	Rbp9					
3	134	267	OG0000556	fly	FBgn0260400	embryonic lethal abnormal vision	elav					
3	134	267	OG0001047	fly	FBgn0085383		CG34354					
3	134	267	OG0001047	fly	FBgn0085391	trivet	trv					
3	134	267	OG0003060	fly	FBgn0031607	tRNA Selenocysteine associated protein	Secp43					
3	134	267	OG0004206	fly	FBgn0015818	Spliceosomal protein on the X	Spx					
3	134	267	OG0016840	fly	FBgn0024987	sister-of-Sex-lethal	ssx					
3	134	267	OG0026466	fly	FBgn0263829		CG34334					
3	134	267	OG0027722	fly	FBgn0002780	modulo	mod					
3	134	268	OG0000556	fly	FBgn0086675	found in neurons	fne					
3	134	268	OG0016840	fly	FBgn0264270	Sex lethal	Sxl					
3	134	268	OG0026476	fly	FBgn0038345		CG5213					
3	134	269	OG0001047	fly	FBgn0005649	Rox8	Rox8					
3	134	274	OG0008008	fly	FBgn0037342		CG2931					
3	134	277	OG0000140	fly	FBgn0004903	Ribonuclear protein at 97D	Rb97D					
3	134	278	OG0002008	fly	FBgn0011206	boule	bol					
3	135	283	OG0000803	fly	FBgn0263396	squid	sqd					
3	135	283	OG0001196	fly	FBgn0011666	musashi	msi					
3	135	283	OG0001196	fly	FBgn0039659		CG14506					
3	135	283	OG0001196	fly	FBgn0260943	RNA-binding protein 6	Rbp6					
3	135	283	OG0004199	fly	FBgn0037602	SRA stem-loop interacting RNA binding protein 2	SLIRP2					
3	135	283	OG0006512	fly	FBgn0004838	Heterogeneous nuclear ribonucleoprotein at 27C	Hrb27C					
3	135	284	OG0001738	fly	FBgn0064117	SRA stem-loop interacting RNA binding protein 1	SLIRP1					
3	135	284	OG0026874	fly	FBgn0010258	RNA-binding protein 4	Rbp4					
3	136	285	OG0000140	fly	FBgn0001215	Heterogeneous nuclear ribonucleoprotein at 98DE	Hrb98DE					
3	136	285	OG0000140	fly	FBgn0004237	Heterogeneous nuclear ribonucleoprotein at 87F	Hrb87F					
3	137	286	OG0000920	fly	FBgn0264001	bruno 3	bru3					
3	137	286	OG0001077	fly	FBgn0000114	bruno 1	bru1					
3	137	286	OG0001077	fly	FBgn0262475	bruno 2	bru2					
3	138	287	OG0000552	fly	FBgn0028554	x16 splicing factor	x16					
3	138	287	OG0000552	fly	FBgn0030479	Rbp1-like	Rbp1-like					
3	138	287	OG0000552	fly	FBgn0260944	RNA-binding protein 1	Rbp1					
3	139	289	OG0000663	fly	FBgn0052423	alan shepard	shep					
3	140	290	OG0000701	fly	FBgn0004227	no on or off transient A	nonA					
3	140	290	OG0000701	fly	FBgn0015520	nonA-like	nonA-l					
3	141	291	OG0004330	fly	FBgn0037939		CG14718					
3	141	292	OG0004330	fly	FBgn0285954	cabeza	caz					
3	142	293	OG0000817	fly	FBgn0052062	RNA-binding Fox protein 1	Rbfox1					
3	143	296	OG0002179	fly	FBgn0003742	transformer 2	tra2					
3	144	297	OG0000268	fly	FBgn0039730		CG7903					
3	144	297	OG0000929	fly	FBgn0011640	lark	lark					
3	145	299	OG0000805	fly	FBgn0005648	Pabp2	Pabp2					
3	146	300	OG0001171	fly	FBgn0010774	RNA and export factor binding protein 1	Ref1					
3	146	300	OG0025694	fly	FBgn0032439	RNA and export factor binding protein 2	Ref2					
3	147	301	OG0003509	fly	FBgn0032230	lowfat	lft					
3	147	301	OG0007766	fly	FBgn0033378	tsunagi	tsu					
3	149	305	OG0001748	fly	FBgn0015778	rasputin	rin					
3	150	306	OG0005193	fly	FBgn0265298	SR family splicing factor SC35	SC35					
3	151	309	OG0002083	fly	FBgn0267790	rumpelstiltskin	rump					
3	153	311	OG0003559	fly	FBgn0022943	cap binding protein 20	Cbp20					
3	153	311	OG0025861	fly	FBgn0035047	Painting of fourth	Pof					
